ALG_NAME,ANT_COUNT,MAX_IT,SEED,ALPHA_ANT,BETA_ANT,RHO,CHOSEN_ANTS,ALPHA_PSO,BETA_PSO,GAMMA,SCORE
pso,200,50,6666,,,,,0.55,0.55,0,2377.86
pso,200,50,6666,,,,,0.55,0.55,0.5,2180.13
pso,200,50,6666,,,,,0.55,0.55,1,3035.35
pso,200,50,6666,,,,,0.55,0.85,0,2441.93
pso,200,50,6666,,,,,0.55,0.85,0.5,2475.73
pso,200,50,6666,,,,,0.55,0.85,1,2903.17
pso,200,50,6666,,,,,0.85,0.55,0,2438.12
pso,200,50,6666,,,,,0.85,0.55,0.5,2282.65
pso,200,50,6666,,,,,0.85,0.55,1,2932.67
pso,200,50,6666,,,,,0.85,0.85,0,2556.63
pso,200,50,6666,,,,,0.85,0.85,0.5,2544.47
pso,200,50,6666,,,,,0.85,0.85,1,2786.39
pso,200,50,7777,,,,,0.55,0.55,0,2688.33
pso,200,50,7777,,,,,0.55,0.55,0.5,2366.25
pso,200,50,7777,,,,,0.55,0.55,1,2982.31
pso,200,50,7777,,,,,0.55,0.85,0,2432.16
pso,200,50,7777,,,,,0.55,0.85,0.5,2346.01
pso,200,50,7777,,,,,0.55,0.85,1,2971.26
pso,200,50,7777,,,,,0.85,0.55,0,2533.9
pso,200,50,7777,,,,,0.85,0.55,0.5,2392.33
pso,200,50,7777,,,,,0.85,0.55,1,2982.31
pso,200,50,7777,,,,,0.85,0.85,0,2369.17
pso,200,50,7777,,,,,0.85,0.85,0.5,2436.62
pso,200,50,7777,,,,,0.85,0.85,1,2971.26
pso,200,50,8888,,,,,0.55,0.55,0,2704.13
pso,200,50,8888,,,,,0.55,0.55,0.5,2296.75
pso,200,50,8888,,,,,0.55,0.55,1,2924.14
pso,200,50,8888,,,,,0.55,0.85,0,2499.4
pso,200,50,8888,,,,,0.55,0.85,0.5,2590.14
pso,200,50,8888,,,,,0.55,0.85,1,2950.75
pso,200,50,8888,,,,,0.85,0.55,0,2655.22
pso,200,50,8888,,,,,0.85,0.55,0.5,2337.84
pso,200,50,8888,,,,,0.85,0.55,1,3010.07
pso,200,50,8888,,,,,0.85,0.85,0,2475.53
pso,200,50,8888,,,,,0.85,0.85,0.5,2368.09
pso,200,50,8888,,,,,0.85,0.85,1,2950.75
