it ant_count alpha_ant beta_ant greedy random standard rank elit pso,,,,,,,,alpha=1,alpha,alpha,alpha,alpha=20,beta=1,,,,beta=20
50,200,1,1,,,472.4298643,,472.4298643,FALSE,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,FALSE,FALSE
50,200,1,2,,,432.1872778,,432.1872778,FALSE,FALSE,FALSE,FALSE,FALSE,432.1872778,FALSE,FALSE,FALSE
50,200,1,4,,,400.4574557,,400.4574557,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,400.4574557,FALSE,FALSE
50,200,1,10,,,417.4537862,,417.4537862,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,417.4537862,FALSE
50,200,1,20,,,457.6316344,,457.6316344,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,457.6316344
50,200,2,1,,,472.4298643,,FALSE,472.4298643,FALSE,FALSE,FALSE,472.4298643,FALSE,FALSE,FALSE,FALSE
50,200,2,2,,,442.0925735,,FALSE,442.0925735,FALSE,FALSE,FALSE,FALSE,442.0925735,FALSE,FALSE,FALSE
50,200,2,4,,,391.9786604,,FALSE,391.9786604,FALSE,FALSE,FALSE,FALSE,FALSE,391.9786604,FALSE,FALSE
50,200,2,10,,,417.4537862,,FALSE,417.4537862,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,417.4537862,FALSE
50,200,2,20,,,457.6316344,,FALSE,457.6316344,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,457.6316344
50,200,4,1,,,488.3838771,,FALSE,FALSE,488.3838771,FALSE,FALSE,488.3838771,FALSE,FALSE,FALSE,FALSE
50,200,4,2,,,428.5867389,,FALSE,FALSE,428.5867389,FALSE,FALSE,FALSE,428.5867389,FALSE,FALSE,FALSE
50,200,4,4,,,384.1032248,,FALSE,FALSE,384.1032248,FALSE,FALSE,FALSE,FALSE,384.1032248,FALSE,FALSE
50,200,4,10,,,422.1475329,,FALSE,FALSE,422.1475329,FALSE,FALSE,FALSE,FALSE,FALSE,422.1475329,FALSE
50,200,4,20,,,459.6905484,,FALSE,FALSE,459.6905484,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,459.6905484
50,200,10,1,,,453.2925197,,FALSE,FALSE,FALSE,453.2925197,FALSE,453.2925197,FALSE,FALSE,FALSE,FALSE
50,200,10,2,,,401.2870437,,FALSE,FALSE,FALSE,401.2870437,FALSE,FALSE,401.2870437,FALSE,FALSE,FALSE
50,200,10,4,,,387.0129472,,FALSE,FALSE,FALSE,387.0129472,FALSE,FALSE,FALSE,387.0129472,FALSE,FALSE
50,200,10,10,,,428.4260121,,FALSE,FALSE,FALSE,428.4260121,FALSE,FALSE,FALSE,FALSE,428.4260121,FALSE
50,200,10,20,,,459.6905484,,FALSE,FALSE,FALSE,459.6905484,FALSE,FALSE,FALSE,FALSE,FALSE,459.6905484
50,200,20,1,,,421.3186912,,FALSE,FALSE,FALSE,FALSE,421.3186912,421.3186912,FALSE,FALSE,FALSE,FALSE
50,200,20,2,,,430.1895715,,FALSE,FALSE,FALSE,FALSE,430.1895715,FALSE,430.1895715,FALSE,FALSE,FALSE
50,200,20,4,,,413.0466546,,FALSE,FALSE,FALSE,FALSE,413.0466546,FALSE,FALSE,413.0466546,FALSE,FALSE
50,200,20,10,,,437.3801165,,FALSE,FALSE,FALSE,FALSE,437.3801165,FALSE,FALSE,FALSE,437.3801165,FALSE
50,200,20,20,,,459.6905484,,FALSE,FALSE,FALSE,FALSE,459.6905484,FALSE,FALSE,FALSE,FALSE,459.6905484
